,GOOD MORNING (0),GOOD AFTERNOON (1),GOOD EVENING (2),HELLO (3),HOW ARE YOU (4),IM FINE (5),NICE TO MEET YOU (6),THANK YOU (7),YOURE WELCOME (8),SEE YOU TOMORROW (9),UNDERSTAND (10),DON’T UNDERSTAND (11),KNOW (12),DON’T KNOW (13),NO (14),YES (15),WRONG (16),CORRECT (17),SLOW (18),FAST (19),ONE (20),TWO (21),THREE (22),FOUR (23),FIVE (24),SIX (25),SEVEN (26),EIGHT (27),NINE (28),TEN (29),JANUARY (30),FEBRUARY (31),MARCH (32),APRIL (33),MAY (34),JUNE (35),JULY (36),AUGUST (37),SEPTEMBER (38),OCTOBER (39),NOVEMBER (40),DECEMBER (41),MONDAY (42),TUESDAY (43),WEDNESDAY (44),THURSDAY (45),FRIDAY (46),SATURDAY (47),SUNDAY (48),TODAY (49),TOMORROW (50),YESTERDAY (51),FATHER (52),MOTHER (53),SON (54),DAUGHTER (55),GRANDFATHER (56),GRANDMOTHER (57),UNCLE (58),AUNTIE (59),COUSIN (60),PARENTS (61),BOY (62),GIRL (63),MAN (64),WOMAN (65),DEAF (66),HARD OF HEARING (67),WEELCHAIR PERSON (68),BLIND (69),DEAF BLIND (70),MARRIED (71),BLUE (72),GREEN (73),RED (74),BROWN (75),BLACK (76),WHITE (77),YELLOW (78),ORANGE (79),GRAY (80),PINK (81),VIOLET (82),LIGHT (83),DARK (84),BREAD (85),EGG (86),FISH (87),MEAT (88),CHICKEN (89),SPAGHETTI (90),RICE (91),LONGANISA (92),SHRIMP (93),CRAB (94),HOT (95),COLD (96),JUICE (97),MILK (98),COFFEE (99),TEA (100),BEER (101),WINE (102),SUGAR (103),NO SUGAR (104)
GOOD MORNING (0),46,1,0,0,1,0,0,0,0,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,1,0,1,3,0,0,0,0,1,0
GOOD AFTERNOON (1),0,43,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,13,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,3,1,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,1,0,0
GOOD EVENING (2),0,1,48,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,9,0,0,2,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0
HELLO (3),0,2,1,57,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0
HOW ARE YOU (4),0,0,0,0,47,0,0,0,0,0,1,0,1,1,5,1,1,0,1,0,6,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,1,2,0,0
IM FINE (5),0,0,0,0,0,54,0,0,0,1,2,1,0,0,1,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,1,0
NICE TO MEET YOU (6),0,0,0,0,0,0,46,0,0,0,1,1,0,0,1,0,1,2,2,0,0,0,1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,1,3,1,0,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,2,0
THANK YOU (7),0,0,0,0,2,0,0,53,0,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,2,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,1,1
YOURE WELCOME (8),0,0,1,0,0,0,0,0,51,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,1,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,0,1,1,5,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,0,0
SEE YOU TOMORROW (9),0,0,1,0,0,0,0,0,0,44,1,3,1,0,1,1,1,0,0,0,0,0,5,1,0,1,2,0,0,2,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,1,4,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2
